strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,Word Origin,NASB
G4188,πῶμα,"Noun, Neuter",poma,PO-mah,(pom'-ah),drink,[from the alternate of,drink
G4189,πονηρία,"Noun, Feminine",ponéria,po-nay-REE-ah,(pon-ay-ree'-ah),"iniquity, wickedness",[from,"wickedness, malice, wicked ways"
G4190,πονηρός,Adjective,ponéros,po-nay-ROS,(pon-ay-ros'),"bad, evil, grievous, harm, lewd, malicious, wicked(-ness)",[from a derivative of,"evil, wicked, bad, evil one, crimes, envious, evil things"
G4191,πονηρότερος,Adjective,ponéroteros,po-nay-RO-te-ros,(pon-ay-rot'-er-os),more wicked,[comparative of,
G4192,πόνος,"Noun, Masculine",ponos,PO-nos,(pon'-os),pain,[from the base of,"pain, concern, pains"
G4193,Ποντικός,Adjective,Pontikos,pon-tee-KOS,(pon-tik-os'),born in Pontus,[from,Pontus
G4194,Πόντιος,"Noun, Masculine",Pontios,PON-tee-os,(pon'-tee-os),Pontius,[of Latin origin],Pontius
G4195,Πόντος,"Noun, Masculine",Pontos,pon'-tos,(pon'-tos),Pontus,[from ???],Pontus
G4196,Πόπλιος,"Noun, Masculine",Poplios,POP-lee-os,(pop'-lee-os),Publius,[of Latin origin],Publius
G4197,πορεία,"Noun, Feminine",poreia,po-reh'-ah,(por-i'-ah),"journey(-ing), ways",[from,"pursuits, way"
G4198,πορεύομαι,Verb,poreuomai,po-ryoo'-o-mai,(por-yoo'-om-ahee),"depart, go (away, forth, one's way, up), (make a, take a) journey, walk",[middle voice from a derivative of the same as,"go, went, going, goes, way, following, gone"
G4199,πορθέω,Verb,portheó,por-theh'-o,(por-theh'-o),"destroy, waste","[prolongation from pertho ""to sack""]","destroy, destroyed"
G4200,πορισμός,"Noun, Masculine",porismos,po-rees-MOS,(por-is-mos'),gain,"[from a derivative of poros (a way, i.e. means)]",means of gain
G4201,πορνεία,"Noun, Masculine",Porkios,por-NAY-ah,(por'-kee-os),Porcius,[of Latin origin],Porcius
G4202,πορνεία,"Noun, Feminine",porneia,por-NAY-ah,(por-ni'-ah),fornication,[from,"immorality, fornication, fornications, immoralities, sexual immorality, unchastity"
G4203,πορνεύω,Verb,porneuó,por-nyoo'-o,(porn-yoo'-o),commit (fornication),[from,"committed immorality, commit immorality, act immorally, did, immoral"
G4204,πόρνη,"Noun, Feminine",porné,por-nay',(por'-nay),"harlot, whore",[feminine of,"harlot, prostitutes, prostitute, harlots"
G4205,πόρνος,"Noun, Masculine",pornos,POR-nos,(por'-nos),"fornicator, whoremonger","[from pernemi ""to sell"" (akin to the base of","fornicators, immoral, immoral people, immoral persons, immoral men, immoral person"
G4206,πόρρω,"Adverb; Adverb, Comparative",porró,por-ro',(por'-rho),"far, a great way off",[adverb from,"far, far away, farther"
G4207,πορρόθεν,Adverb,porróthen,por-RO-then,(por'-rho-then),afar off,[from,distance
G4208,πορρώτερον,Verb,porróteron,por-RO-te-ron,(por-rho-ter'-o),farther,[adverb comparative of,
G4209,πορφύρα,"Noun, Feminine",porphura,por-FOO-rah,(por-foo'-rah),purple,[of Latin origin],"purple, purple robe"
G4210,πορφυροῦς,Adjective,porphurous,por-foo-roos',(por-foo-rooce'),purple,[from,purple
G4211,πορφυροπώλις,"Noun, Feminine",porphuropólis,por-foo-ROP-oh-lis,(por-foo-rop'-o-lis),seller of purple,[feminine of a compound of,"purple fabrics, seller of purple fabrics"
G4212,ποσάκις,Adverb,posakis,po-sak'-is,(pos-ak'-is),how oft(-en),[multiplicative from,how often
G4213,πόσις,"Noun, Feminine",posis,POH-sis,(pos'-is),drink,[from the alternate of,"drink, drinking"
G4214,πόσος,Correlative Or Interrogative Pronoun,posos,PO-sos,(pos'-os),"how great (long, many), what","[from an absolute pos (who, what) and","how much, how many, how, how great, how many things, what"
G4215,ποταμός,"Noun, Masculine",potamos,po-tä-mos',(pot-am-os'),"flood, river, stream, water",[probably from a derivative of the alternate of,"river, rivers, floods, torrent"
G4216,ποταμοφορητός,Adjective,potamophorétos,po-tam-of-or-AY-tos,(pot-am-of-or'-ay-tos),carried away of the flood,[from,"swept away, swept away with the flood"
G4217,ποταπός,Adjective,potapos,po-tä-pos',(pot-ap-os'),what (manner of),[apparently from,"what kind, what sort, what wonderful, how great, what sort of person"
G4218,ποτε,"Particle, Disjunctive Particle",pote,po'-te,(pot-eh'),"afore-(any, some-)time(-s), at length (the last), (+ n-)ever, in the old time, in time past, once, when",[from the base of,"formerly, once, ever, last, any time, former, former times"
G4219,ποτε,"Particle, Interrogative",pote,po'-te,(pot'-eh),"+ how long, when",[from the base of,when
G4220,πότερον,"Adverb, Interrogative",poteron,po'-ter-on,(pot'-er-on),whether,[neuter of a comparative of the base of,whether
G4221,ποτήριον,"Noun, Neuter",potérion,po-TAY-ree-on,(pot-ay'-ree-on),cup,[neuter of a derivative of the alternate of,"cup, cups"
G4222,ποτίζω,Verb,potizó,po-TID-zo,(pot-id'-zo),"give (make) to drink, feed, water",[from a derivative of the alternate of,"gave to drink, drink, gave a drink, gives, waters, made to drink, made drink"
G4223,Ποτιόλοι,"Noun, Masculine",Potioloi,po-tee-o'-loi,(pot-ee'-ol-oy),Puteoli,[of Latin origin],Puteoli
G4224,πότος,"Noun, Masculine",potos,PO-tos,(pot'-os),banqueting,[from the alternate of,drinking parties
G4225,ποῦ,Adverb,pou,poo,(poo),"about, a certain place",[genitive case of an indefinite pronoun pos (some) otherwise obsolete],"somewhere, about"
G4226,ποῦ,"Adverb, Interrogative",pou,poo,(poo),"where, whither",[genitive case of an interrogative pronoun pos (what) otherwise obsolete (perhaps the same as,"where, place, what"
G4227,Πούδης,"Noun, Masculine",Poudés,poo'-dace,(poo'-dace),Pudens,[of Latin origin],Pudens
G4228,πούς,"Noun, Masculine",pous,poos,(pooce),foot(-stool),[a primary word],"feet, foot"
G4229,πρᾶγμα,"Noun, Neuter",pragma,PRAHG-mah,(prag'-mah),"business, matter, thing, work",[from,"things, matter, case, deed, thing"
G4230,πραγματεία,"Noun, Feminine",pragmateia,prag-mat-i'-ah,(prag-mat-i'-ah),affair,[from,affairs
G4231,πραγματεύομαι,Verb,pragmateuomai,prag-mat-yoo'-om-ahee,(prag-mat-yoo'-om-ahee),occupy,[from,do business
G4232,πραιτώριον,"Noun, Neuter",praitórion,prī-tō'-rē-on,(prahee-to'-ree-on),"(common, judgment) hall (of judgment), palace, praetorium",[of Latin origin],"Praetorium, praetorian guard"
G4233,πράκτωρ,"Noun, Masculine",praktór,prak'-tohr,(prak'-tor),officer,[from a derivative of,officer
G4234,πρᾶξις,"Noun, Feminine",praxis,PRAK-sis,(prax'-is),"deed, office, work",[from,"deeds, practices, action, function"
G4235,πραΰς,Adjective,praos,prah-oce,(prah'-os),meek,[a form of,
G4236,πραότης,"Noun, Feminine",praotés,prah-ot'-ace,(prah-ot'-ace),meekness,[from,
G4237,πρασιά,"Noun, Feminine",prasia,prah-see-AH,(pras-ee-ah'),in ranks,"[perhaps from prason (a leek, and so an onion-patch)]",groups
G4238,πράσσω,Verb,prassó,pras'-so,(pras'-so),"commit, deeds, do, exact, keep, require, use arts",[a primary verb],"practice, do, done, committed, doing, practiced, act"
G4239,πραΰς,Adjective,praus,prah-oos',(prah-ooce'),meek,[apparently a primary word],
G4240,πραΰτης,"Noun, Feminine",prautés,prah-oo'-tace,(prah-oo'-tace),meekness,[from,"gentleness, consideration, humility, meekness"
G4241,πρέπω,Verb,prepó,prep'-o,(prep'-o),"become, comely",[apparently a primary verb],"fitting, proper"
G4242,πρεσβεία,"Noun, Feminine",presbeia,pres-BAY-ah,(pres-bi'-ah),"ambassage, message",[from,delegation
G4243,πρεσβεύω,Verb,presbeuó,pres-byoo'-o,(pres-byoo'-o),be an ambassador,[from the base of,"am an ambassador, ambassadors"
G4244,πρεσβυτέριον,"Noun, Neuter",presbuterion,pres-boo-ter'-ee-on,(pres-boo-ter'-ee-on),"(estate of) elder(-s), presbytery",[neuter of a presumed derivative of,"council of elders, council of the elders, presbytery"
G4245,πρεσβύτερος,Adjective,presbuteros,pres-boo'-ter-os,(pres-boo'-ter-os),"elder(-est), old","[comparative of presbus ""elderly""]","elders, elder, men of old, old men, older, older man, older ones"
G4246,πρεσβύτης,"Noun, Masculine",presbutés,pres-boo'-tace,(pres-boo'-tace),"aged (man), old man",[from presbus (elderly)],"aged, old man, older men"
G4247,πρεσβῦτις,"Noun, Feminine",presbutis,pres-BOO-tis,(pres-boo'-tis),aged woman,[feminine of,older women
